"streetrubble05",,"Street Rubble05",,,,"11:49 05/04/2025"
"streetrubble06",,"Street Rubble06",,,,"11:49 05/04/2025"
"streettree1",,"Street Tree1",,,,"11:49 05/04/2025"
"streettree2",,"Street Tree2",,,,"11:49 05/04/2025"
"streettree3",,"Street Tree3",,,,"11:49 05/04/2025"
"streetvendorcart",,"Street Vendor Cart",,,,"11:49 05/04/2025"
"supermarketcounterleft",,"Supermarket Counter Left",,,,"11:49 05/04/2025"
"supermarketcounterright",,"Supermarket Counter Right",,,,"11:49 05/04/2025"
"supermarketemptyshelflarge",,"Supermarket Empty Shelf Large",,,,"11:49 05/04/2025"
"supermarketemptyshelfsmall",,"Supermarket Empty Shelf Small",,,,"11:49 05/04/2025"
"supermarketendshelf",,"Supermarket End Shelf",,,,"11:49 05/04/2025"
"supermarketfreezercorner",,"Supermarket Freezer Corner",,,,"11:49 05/04/2025"
"supermarketscales",,"Supermarket Scales",,,,"11:49 05/04/2025"
"supermarketshelving1",,"Supermarket Shelving1",,,,"11:49 05/04/2025"
"supermarketshelving2",,"Supermarket Shelving2",,,,"11:49 05/04/2025"
"supermarketsignstarch",,"Supermarket Sign Starch",,,,"11:49 05/04/2025"
"supermarketsignsynthbeef",,"Supermarket Sign Synth Beef",,,,"11:49 05/04/2025"
"syncbed",,"Sync Bed",,,,"11:49 05/04/2025"
"synthfishstand",,"Synth Fish Stand",,,,"11:49 05/04/2025"
"talljunkshelfdouble",,"Tall Junk Shelf Double",,,,"11:49 05/04/2025"
"telephonebooth",,"Telephone Booth",,,,"11:49 05/04/2025"
"televisionbillboard",,"Television Billboard",,,,"11:49 05/04/2025"
"townhouseexterior",,"Townhouse Exterior",,,,"11:49 05/04/2025"
"trafficlightsoverhead",,"Traffic Lights Overhead",,,,"11:49 05/04/2025"
"tree",,"Tree",,,,"11:49 05/04/2025"
"treedead",,"Tree Dead",,,,"11:49 05/04/2025"
"treedeadfir",,"Tree Dead Fir",,,,"11:49 05/04/2025"
"treetall",,"Tree Tall",,,,"11:49 05/04/2025"
"treewarped",,"Tree Warped",,,,"11:49 05/04/2025"
"trousersonfloor",,"Trousers On Floor",,,,"11:49 05/04/2025"
"underdeskdrawers",,"Under Desk Drawers",,,,"11:49 05/04/2025"
"victorianstreetlight",,"Victorian Street Light",,,,"11:49 05/04/2025"
"vintagewalllampballroom",,"Vintage Wall Lamp Ballroom",,,,"11:49 05/04/2025"
"walkinclosetitems",,"Walk In Closet Items",,,,"11:49 05/04/2025"
"wallgrimebottom",,"Wall Grime Bottom",,,,"11:49 05/04/2025"
"wallgrimetop",,"Wall Grime Top",,,,"11:49 05/04/2025"
"washingmachines",,"Washing Machines",,,,"11:49 05/04/2025"
